"order","x","y","length","raw.y","angle","Xo","Yo"
"row_1",15.4285714285714,140.142714428429,2.998001998002,14.8572855715713,120,5.4285714285714,140.142714428429
"row_7",29.4285714285714,120.142714428429,2.998001998002,34.8572855715713,100,5.4285714285714,120.142714428429
"row_8",29.4285714285714,115.142714428429,2.998001998002,39.8572855715713,95,5.4285714285714,115.142714428429
"row_16",32.4285714285714,95.1427144284287,2.998001998002,59.8572855715713,75,5.4285714285714,95.1427144284287
"row_26",55.4285714285714,45.1427144284287,2.998001998002,109.857285571571,25,5.4285714285714,45.1427144284287
"row_27",57.4285714285714,40.1427144284287,2.998001998002,114.857285571571,20,5.4285714285714,40.1427144284287
"row_4",24.8888888888889,130.111000111,3.998001998002,24.8889998889999,110,5.4285714285714,130.111000111
"row_9",29.8888888888889,110.111000111,3.998001998002,44.8889998889999,90,5.4285714285714,110.111000111
"row_10",31.8888888888889,105.111000111,3.998001998002,49.8889998889999,85,5.4285714285714,105.111000111
"row_11",31.8888888888889,100.111000111,3.998001998002,54.8889998889999,80,5.4285714285714,100.111000111
"row_12",31.8888888888889,90.1110001110001,3.998001998002,64.8889998889999,70,5.4285714285714,90.1110001110001
"row_13",31.8888888888889,85.1110001110001,3.998001998002,69.8889998889999,65,5.4285714285714,85.1110001110001
"row_14",31.8888888888889,80.1110001110001,3.998001998002,74.8889998889999,60,5.4285714285714,80.1110001110001
"row_15",31.8888888888889,75.1110001110001,3.998001998002,79.8889998889999,55,5.4285714285714,75.1110001110001
"row_17",32.8888888888889,70.1110001110001,3.998001998002,84.8889998889999,50,5.4285714285714,70.1110001110001
"row_6",28.3636363636364,125.090818272636,4.998001998002,29.9091817273635,105,5.4285714285714,125.090818272636
"row_20",40.3636363636364,60.0908182726365,4.998001998002,94.9091817273635,40,5.4285714285714,60.0908182726365
"row_21",42.3636363636364,25.0908182726365,4.998001998002,129.909181727364,5,5.4285714285714,25.0908182726365
"row_22",47.3636363636364,55.0908182726365,4.998001998002,99.9091817273635,35,5.4285714285714,55.0908182726365
"row_3",18.8461538461538,20.0768462306924,5.998001998002,134.923153769308,0,5.4285714285714,20.0768462306924
"row_5",25.8461538461538,20.0768462306924,5.998001998002,134.923153769308,0,5.4285714285714,20.0768462306924
"row_19",37.8461538461538,65.0768462306924,5.998001998002,89.9231537693076,45,5.4285714285714,65.0768462306924
"row_24",49.8461538461538,30.0768462306924,5.998001998002,124.923153769308,10,5.4285714285714,30.0768462306924
"row_25",55.8461538461538,35.0768462306924,5.998001998002,119.923153769308,15,5.4285714285714,35.0768462306924
"row_2",19.8235294117647,135.058764764647,7.998001998002,19.9412352353529,115,5.4285714285714,135.058764764647
"row_18",36.8235294117647,20.0587647646471,7.998001998002,134.941235235353,0,5.4285714285714,20.0587647646471
"row_23",50.8235294117647,50.0587647646471,7.998001998002,104.941235235353,30,5.4285714285714,50.0587647646471
"duplic of 12",19.8235294117647,135.058764764647,7.998001998002,19.9412352353529,115,5.4285714285714,135.058764764647
"duplic of 10",36.8235294117647,20.0587647646471,7.998001998002,134.941235235353,0,5.4285714285714,20.0587647646471
"duplic of 16",50.8235294117647,50.0587647646471,7.998001998002,104.941235235353,30,5.4285714285714,50.0587647646471
